Field_ID,Category,Period,Metric,Description,Example_Value
Revenue_Multifamily_YTD_Total,Revenue,YTD,Total,Multifamily revenue year-to-date total,"$195,060"
Revenue_Multifamily_YTD_Unit,Revenue,YTD,Unit,Multifamily revenue year-to-date per unit,"$12,191"
Revenue_Multifamily_YTD_Pct,Revenue,YTD,Percent,Multifamily revenue year-to-date as % of PGR,96%
Revenue_Multifamily_Proj_Total,Revenue,Projection,Total,Multifamily revenue projection total,"$194,400"
Revenue_Multifamily_Proj_Unit,Revenue,Projection,Unit,Multifamily revenue projection per unit,"$12,150"
Revenue_Multifamily_Proj_Pct,Revenue,Projection,Percent,Multifamily revenue projection as % of PGR,95%
Revenue_Rental_YTD_Total,Revenue,YTD,Total,Total rental revenue year-to-date,"$195,060"
Revenue_Rental_YTD_Unit,Revenue,YTD,Unit,Total rental revenue year-to-date per unit,"$12,191"
Revenue_Rental_YTD_Pct,Revenue,YTD,Percent,Total rental revenue year-to-date as % of PGR,96%
Revenue_Rental_Proj_Total,Revenue,Projection,Total,Total rental revenue projection,"$194,400"
Revenue_Rental_Proj_Unit,Revenue,Projection,Unit,Total rental revenue projection per unit,"$12,150"
Revenue_Rental_Proj_Pct,Revenue,Projection,Percent,Total rental revenue projection as % of PGR,95%
Revenue_Parking_YTD_Total,Revenue,YTD,Total,Parking income year-to-date,"$6,000"
Revenue_Parking_YTD_Unit,Revenue,YTD,Unit,Parking income year-to-date per unit,$375
Revenue_Parking_YTD_Pct,Revenue,YTD,Percent,Parking income year-to-date as % of PGR,3%
Revenue_Parking_Proj_Total,Revenue,Projection,Total,Parking income projection,"$6,000"
Revenue_Parking_Proj_Unit,Revenue,Projection,Unit,Parking income projection per unit,$375
Revenue_Parking_Proj_Pct,Revenue,Projection,Percent,Parking income projection as % of PGR,3%
Revenue_Laundry_YTD_Total,Revenue,YTD,Total,Laundry income year-to-date,"$2,400"
Revenue_Laundry_YTD_Unit,Revenue,YTD,Unit,Laundry income year-to-date per unit,$150
Revenue_Laundry_YTD_Pct,Revenue,YTD,Percent,Laundry income year-to-date as % of PGR,1%
Revenue_Laundry_Proj_Total,Revenue,Projection,Total,Laundry income projection,"$2,400"
Revenue_Laundry_Proj_Unit,Revenue,Projection,Unit,Laundry income projection per unit,$150
